Key,Count,Size,NeverExpire,AvgTtl(excluded never expire)
casem#*,54707,1019.098 KB,54707,0
question#*,25574,475.685 KB,25574,0
sync#*,55,283.151 KB,55,0
live#*,6779,126.913 KB,6775,991994
activityTpl#*,13,13.669 KB,13,0
video#*,415,11.826 KB,415,0
spreadUser#*,23,10.24 KB,23,0
answer#*,152,6.879 KB,152,0
userTopic#*,238,4.541 KB,238,0
sectionTree#*,1,2.397 KB,1,0
topic#*,44,847 Bytes,44,0
gfeedNewInx#*,144,720 Bytes,144,0
location#*,1,468 Bytes,0,121241
token#*,4,435 Bytes,0,3138
gfeedRecInx#*,76,380 Bytes,76,0
wx#*,1,281 Bytes,0,249998
selectedCategoryRedis#*,135,270 Bytes,135,0
gfeedHotInx#*,88,223 Bytes,88,0
rc#*,7,164 Bytes,0,74299
vote#*,1,24 Bytes,1,0
selected#*,2,15 Bytes,0,12858445
voteUser#*,1,13 Bytes,1,0
helpAreaList#*,1,2 Bytes,1,0